Date,GLD,SPY,TLT
2008-10-02,82.33,87.52646,68.070366
2008-10-03,82.59,86.34483,68.66964
2008-10-06,84.28,81.94699,69.917534
2008-10-07,87.27,78.27691,69.70603
2008-10-08,89.42,76.304924,68.70489
2008-10-09,89.9,70.97586,68.12677
2008-10-10,83.22,69.25429,67.64735
2008-10-13,81.99,79.30985,66.78017
2008-10-14,82.2,78.13605,66.3501
2008-10-15,83.31,70.44373,66.98463
2008-10-16,79.29,73.37824,66.63916
2008-10-17,77.21,72.94002,66.18089
2008-10-20,78.5,77.32221,66.70966
2008-10-21,76.027,75.01374,67.06218
2008-10-22,71.71,70.92891,68.42288
2008-10-23,70.65,71.75057,68.9305
2008-10-24,72.21,68.111786,68.19727
2008-10-27,72.18,65.69375,68.24663
2008-10-28,73.79,73.370415,67.25253
2008-10-29,74.0,72.838295,66.91412
2008-10-30,72.71,75.358055,66.3078
2008-10-31,71.34,75.7728,65.44767
2008-11-03,71.1,75.991905,65.624626
2008-11-04,75.4786,78.57427,66.856285
2008-11-05,72.8,75.27197,67.64907
2008-11-06,72.22,71.10107,67.16066
2008-11-07,72.5,73.44867,66.721794
2008-11-10,73.58,72.48615,67.0474
2008-11-11,72.05,70.2481,67.2456
2008-11-12,70.0,67.1571,67.67739
2008-11-13,72.15,71.34365,66.05641
2008-11-14,73.3,67.78313,67.36594
2008-11-17,72.65,66.88321,67.66323
2008-11-18,72.51,68.14309,68.53388
2008-11-19,72.26,63.776546,70.28935
2008-11-20,73.45,59.04221,73.92061
2008-11-21,78.85,62.227123,72.85176
2008-11-24,80.91,66.53889,71.71212
2008-11-25,80.87,67.03189,73.82151
2008-11-26,80.38,69.62208,73.92061
2008-11-28,80.31,70.49851,74.83374
2008-12-01,75.65,64.25389,77.69953
2008-12-02,76.95,66.7267,77.99783
2008-12-03,76.18,68.330894,78.218
2008-12-04,75.5,66.750175,79.75921
2008-12-05,74.52,68.80824,78.46659
2008-12-08,76.195,71.210625,78.29613
2008-12-09,76.33,70.03682,79.84444
2008-12-10,79.75,70.51417,79.65268
2008-12-11,80.65,68.81607,79.80893
2008-12-12,80.81,69.637726,79.80893
2008-12-15,82.6,68.66738,80.718025
2008-12-16,84.46,71.89925,82.71378
2008-12-17,85.43,71.2028,84.95812
2008-12-18,83.87,69.87249,86.7408
2008-12-19,82.63,69.57219,86.83314
2008-12-22,83.46,68.68074,86.16551
2008-12-23,82.63,67.97075,86.05188
2008-12-24,83.46,68.36519,85.86722
2008-12-26,85.6,68.759636,86.15131
2008-12-29,86.35,68.562416,86.04797
2008-12-30,85.9,70.18752,86.86748
2008-12-31,86.52,71.18941,85.050316
2009-01-02,86.23,73.33519,82.912476
2009-01-05,84.48,73.24841,80.77464
2009-01-06,85.13,73.737526,79.962265
2009-01-07,82.75,71.52863,80.27581
2009-01-08,84.46,71.820526,80.21168
2009-01-09,83.92,70.28219,80.332825
2009-01-12,80.76,68.59396,81.16658
2009-01-13,80.88,68.720184,81.25209
2009-01-14,79.79,66.55863,82.591805
2009-01-15,80.39,66.5823,82.727196
2009-01-16,82.71,67.10296,81.45162
2009-01-20,84.52,63.56085,81.43737
2009-01-21,84.15,66.30619,78.86484
2009-01-22,84.58,65.280624,77.34698
2009-01-23,88.53,65.56463,76.74126
2009-01-26,88.95,66.0143,76.071396
2009-01-27,88.38,66.68485,77.860054
2009-01-28,87.415,68.94108,75.91462
2009-01-29,89.5,66.70063,74.168724
2009-01-30,91.31,65.34374,73.93356
2009-02-02,88.84,65.146515,75.30912
2009-02-03,88.47,66.06163,73.51553
2009-02-04,89.18,65.73818,73.258286
2009-02-05,90.12,66.71641,73.3226
2009-02-06,89.59,68.61764,73.09394
2009-02-09,88.32,68.712296,73.32975
2009-02-10,90.21,65.56463,74.92325
2009-02-11,92.29,65.95118,75.89507
2009-02-12,93.17,65.99852,75.1805
2009-02-13,92.55,65.28852,73.17969
2009-02-17,95.45,62.49585,75.45918
2009-02-18,96.91,62.34596,74.81606
2009-02-19,95.77,61.675404,73.54412
2009-02-20,97.8,61.075844,74.2587
2009-02-23,97.73,58.89062,74.94469
2009-02-24,94.73,61.12318,74.86608
2009-02-25,93.15,60.64196,74.00145
2009-02-26,93.06,59.655846,73.222565
2009-02-27,92.63,58.32262,72.80096
2009-03-02,90.93,55.695618,74.00621
2009-03-03,90.04,55.277504,73.51179
2009-03-04,88.99,56.587067,73.175
2009-03-05,91.99,54.27562,75.21003
2009-03-06,92.29,54.37028,74.70844
2009-03-09,90.57,53.73128,74.27134
2009-03-10,88.14,56.934174,72.84539
2009-03-11,89.22,57.30495,73.633606
2009-03-12,91.1,59.561176,73.98472
2009-03-13,91.3,60.02662,73.61211
2009-03-16,90.8,59.845177,72.45128
2009-03-17,90.04,61.675404,72.05717
2009-03-18,93.09,63.055958,74.78726
2009-03-19,94.35,62.27496,74.88042
2009-03-20,93.59,60.94921,74.464806
2009-03-23,92.08,65.32713,73.81991
2009-03-24,90.95,64.03998,74.52213
2009-03-25,91.98,64.71533,73.51895
2009-03-26,91.93,66.03427,74.37166
2009-03-27,90.69,64.84246,74.92341
2009-03-30,89.98,62.601856,75.21003
2009-03-31,90.28,63.18187,75.74745
